                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3343,                 4.3673,                 4.1845,                0.00248,                0.51739,                0.01344,                0.00343,                 2.9567,                 4.1075,                 4.0476,               0.003324,               0.003324,               0.003324
                      2,                 2.7908,                 3.5488,                 3.4578,                0.49672,                0.09574,                0.11652,                0.04737,                 2.2738,                 3.0769,                 3.0977,              0.0066354,              0.0066354,              0.0066354
                      3,                  2.143,                  2.745,                 2.6976,                0.34452,                0.20761,                0.20619,                0.09523,                 1.9431,                 2.7354,                  2.617,              0.0099248,              0.0099248,              0.0099248
                      4,                 1.8013,                 2.2671,                 2.2996,                0.31185,                0.20928,                0.22674,                0.12519,                 1.6747,                 2.2499,                 2.1989,               0.009901,               0.009901,               0.009901
                      5,                  1.643,                 1.9792,                 2.0954,                0.28051,                0.28687,                0.27343,                0.14101,                 1.5406,                  1.924,                 2.1047,               0.009901,               0.009901,               0.009901
                      6,                 1.5513,                 1.8065,                 1.9983,                0.42391,                0.21688,                0.26976,                0.14648,                  1.617,                 2.2076,                 2.1051,               0.009868,               0.009868,               0.009868
                      7,                 1.4881,                 1.6552,                 1.9245,                 0.3407,                 0.2565,                0.31741,                0.17773,                 1.4813,                 1.8339,                 1.9525,               0.009835,               0.009835,               0.009835
                      8,                 1.4318,                 1.5617,                 1.8557,                0.30678,                0.31079,                0.29821,                0.16693,                  1.486,                 1.7779,                 1.9366,               0.009802,               0.009802,               0.009802
                      9,                 1.4034,                 1.4757,                 1.8305,                0.27984,                0.31468,                0.29981,                0.15006,                 1.5738,                 1.8607,                 2.0721,               0.009769,               0.009769,               0.009769
                     10,                 1.3586,                 1.3865,                  1.777,                0.41894,                0.31957,                0.35886,                0.20032,                 1.4708,                 1.6888,                 1.9376,               0.009736,               0.009736,               0.009736
                     11,                 1.3275,                 1.3305,                 1.7403,                0.40882,                0.28871,                0.33938,                0.18549,                 1.4542,                 1.7669,                 1.9147,               0.009703,               0.009703,               0.009703
                     12,                 1.2997,                 1.2617,                 1.7123,                0.33303,                0.26531,                0.29272,                0.17849,                 1.4098,                 1.7251,                 1.8568,                0.00967,                0.00967,                0.00967
                     13,                 1.2801,                 1.2293,                 1.6967,                0.35987,                0.29947,                0.31049,                0.18745,                  1.421,                 1.7921,                 1.8901,               0.009637,               0.009637,               0.009637
                     14,                 1.2616,                 1.1851,                 1.6681,                0.45729,                0.29876,                0.36045,                0.20609,                 1.4558,                 1.6887,                 1.8616,               0.009604,               0.009604,               0.009604
                     15,                 1.2464,                 1.1628,                 1.6561,                0.38204,                0.27429,                0.32648,                0.18497,                 1.4923,                 1.7578,                 1.9186,               0.009571,               0.009571,               0.009571
                     16,                 1.2357,                 1.1414,                 1.6347,                0.35535,                0.32825,                0.34826,                0.18762,                 1.4277,                 1.5493,                  1.861,               0.009538,               0.009538,               0.009538
                     17,                 1.2103,                  1.099,                 1.6119,                0.34998,                0.46406,                0.40103,                0.23851,                 1.4346,                 1.4763,                 1.8361,               0.009505,               0.009505,               0.009505
                     18,                 1.1993,                 1.0723,                  1.605,                0.33474,                0.38717,                0.37589,                 0.2218,                 1.4515,                 1.6055,                  1.831,               0.009472,               0.009472,               0.009472
                     19,                 1.1895,                 1.0506,                 1.5814,                0.30707,                0.40657,                0.33118,                0.18624,                  1.463,                 1.7645,                 1.8754,               0.009439,               0.009439,               0.009439
                     20,                  1.175,                 1.0418,                 1.5705,                0.43424,                 0.3361,                0.39021,                0.23172,                  1.405,                 1.4405,                 1.7954,               0.009406,               0.009406,               0.009406
                     21,                 1.1501,                 1.0017,                 1.5449,                0.32437,                0.34344,                 0.3129,                 0.1699,                 1.5277,                 1.8546,                 1.8876,               0.009373,               0.009373,               0.009373
                     22,                 1.1462,                 1.0006,                 1.5462,                0.46398,                0.34841,                0.37974,                0.22479,                 1.4698,                 1.4279,                 1.8394,                0.00934,                0.00934,                0.00934
                     23,                 1.1478,                0.97643,                 1.5356,                0.44019,                0.35968,                0.34939,                0.20868,                 1.3991,                 1.8226,                 1.7613,               0.009307,               0.009307,               0.009307
                     24,                 1.1277,                0.95186,                 1.5191,                0.32685,                0.45584,                0.39009,                0.21699,                 1.4776,                 1.5115,                 1.8306,               0.009274,               0.009274,               0.009274
                     25,                 1.1242,                0.94013,                 1.5136,                0.38238,                  0.463,                0.37943,                0.22539,                  1.369,                 1.6691,                 1.7665,               0.009241,               0.009241,               0.009241
                     26,                 1.1148,                0.92381,                  1.506,                0.43334,                0.36899,                0.38506,                0.22565,                 1.3868,                 1.5443,                 1.8068,               0.009208,               0.009208,               0.009208
                     27,                  1.099,                0.90169,                 1.4947,                0.40228,                0.34669,                0.37938,                0.22032,                 1.4305,                 1.3653,                 1.7897,               0.009175,               0.009175,               0.009175
                     28,                 1.0903,                0.89426,                 1.4811,                0.36835,                0.39969,                0.37858,                0.20676,                 1.4265,                 1.5914,                 1.7726,               0.009142,               0.009142,               0.009142
                     29,                 1.0878,                0.88851,                 1.4793,                0.40379,                0.34278,                0.38287,                0.21884,                 1.4553,                 1.5184,                 1.7836,               0.009109,               0.009109,               0.009109
                     30,                 1.0823,                0.87005,                 1.4714,                0.36741,                0.35593,                0.37392,                0.22245,                 1.4353,                 1.6227,                 1.7835,               0.009076,               0.009076,               0.009076
