                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0137,                 3.4259,                 4.2165,                0.05942,                0.09584,                0.03857,                0.01263,                 2.5406,                 4.0191,                 5.0486,              0.0033158,              0.0033158,              0.0033158
                      2,                 2.9681,                 3.1828,                 3.9474,                0.07683,                0.08978,                0.03874,                 0.0108,                 2.7882,                 3.4914,                 4.1072,              0.0066228,              0.0066228,              0.0066228
                      3,                 2.5512,                 2.7125,                  3.336,                0.10149,                 0.2291,                0.06161,                0.01764,                  2.366,                 3.6094,                 3.5947,              0.0099034,              0.0099034,              0.0099034
                      4,                 2.0395,                 2.2717,                 2.7334,                0.35302,                0.47059,                0.26803,                0.10698,                 1.9895,                 2.8061,                 2.9537,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.7689,                 1.9855,                 2.4067,                0.17708,                0.27864,                0.14938,                0.05082,                 2.2531,                 4.7376,                 3.0425,              0.0098812,              0.0098812,              0.0098812
                      6,                 1.6239,                 1.7643,                 2.2662,                0.39601,                0.32508,                   0.27,                0.10317,                 1.9758,                 2.6572,                 2.7822,              0.0098416,              0.0098416,              0.0098416
                      7,                  1.539,                 1.6099,                 2.1588,                0.56992,                0.47368,                0.46906,                0.21151,                 1.8852,                  2.174,                 2.7191,               0.009802,               0.009802,               0.009802
                      8,                 1.4752,                 1.5207,                 2.1081,                0.36498,                0.41639,                0.31011,                0.13482,                 1.9539,                 2.4358,                 2.6974,              0.0097624,              0.0097624,              0.0097624
                      9,                 1.3981,                  1.438,                 2.0288,                0.54793,                0.44654,                0.44635,                0.18261,                  2.011,                 2.2877,                 2.7135,              0.0097228,              0.0097228,              0.0097228
                     10,                 1.3757,                 1.3632,                 1.9951,                0.47235,                0.51703,                0.45834,                 0.2058,                 1.8696,                 2.0585,                 2.6484,              0.0096832,              0.0096832,              0.0096832
                     11,                 1.3568,                 1.3126,                 1.9699,                 0.4124,                0.37771,                0.34194,                0.14373,                  1.908,                  2.313,                 2.6877,              0.0096436,              0.0096436,              0.0096436
                     12,                 1.3113,                 1.2918,                 1.9305,                0.63403,                0.54489,                0.54797,                0.25691,                 1.8869,                 1.8714,                  2.654,               0.009604,               0.009604,               0.009604
                     13,                 1.2986,                 1.2784,                 1.9171,                0.50163,                0.50464,                0.46211,                0.20336,                 1.8698,                 2.0727,                 2.5901,              0.0095644,              0.0095644,              0.0095644
                     14,                 1.2579,                 1.2272,                 1.8748,                0.66868,                0.59443,                0.58383,                0.28223,                 1.7428,                 1.9115,                 2.4866,              0.0095248,              0.0095248,              0.0095248
                     15,                 1.2508,                 1.2141,                 1.8491,                0.45726,                0.40951,                0.38138,                0.14692,                 2.1437,                 2.1787,                 2.8327,              0.0094852,              0.0094852,              0.0094852
                     16,                 1.2151,                 1.1752,                 1.8166,                0.64612,                 0.5387,                0.52407,                0.25223,                 1.8136,                 1.9606,                 2.5417,              0.0094456,              0.0094456,              0.0094456
                     17,                 1.2034,                 1.1907,                 1.7957,                0.73348,                0.54531,                0.58409,                0.27789,                 1.7659,                 1.8216,                 2.4593,               0.009406,               0.009406,               0.009406
                     18,                 1.1874,                 1.1614,                 1.7741,                0.55113,                0.51393,                0.50254,                0.22846,                 1.7879,                 2.0904,                 2.4998,              0.0093664,              0.0093664,              0.0093664
                     19,                 1.1563,                  1.127,                 1.7486,                0.47971,                0.45957,                0.42439,                0.20479,                 1.8261,                 2.0814,                  2.533,              0.0093268,              0.0093268,              0.0093268
                     20,                 1.1508,                  1.115,                  1.732,                0.48518,                0.39009,                0.39239,                0.18863,                 1.7882,                 2.2163,                 2.5363,              0.0092872,              0.0092872,              0.0092872
                     21,                  1.148,                 1.1053,                 1.7221,                0.63351,                0.56728,                0.56382,                0.25639,                 1.8068,                 1.8307,                 2.5112,              0.0092476,              0.0092476,              0.0092476
                     22,                  1.115,                 1.0805,                 1.6969,                0.70253,                0.56966,                0.59334,                0.26493,                 1.8639,                 1.7011,                  2.617,               0.009208,               0.009208,               0.009208
                     23,                 1.1157,                 1.0756,                  1.693,                0.58335,                 0.5418,                0.50513,                0.24081,                 1.8555,                 1.8236,                 2.5483,              0.0091684,              0.0091684,              0.0091684
                     24,                 1.1016,                 1.0601,                 1.6762,                0.61339,                0.51703,                 0.4852,                0.20616,                 1.9458,                 1.8756,                  2.668,              0.0091288,              0.0091288,              0.0091288
                     25,                  1.098,                  1.053,                 1.6707,                0.54545,                0.48668,                0.48025,                0.21851,                 1.8208,                 2.0154,                 2.5059,              0.0090892,              0.0090892,              0.0090892
                     26,                 1.0647,                 1.0284,                 1.6451,                0.66323,                0.56656,                0.59428,                0.27965,                 1.7446,                 1.7918,                 2.4488,              0.0090496,              0.0090496,              0.0090496
