                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0592,                   24.6,                 4.1145,                0.00022,                0.01232,                0.00012,                  9e-05,                 5.1945,                 8.0353,                 4.1742,              0.0033083,              0.0033083,              0.0033083
                      2,                 4.2801,                 5.8128,                 3.4779,                0.05147,                0.02956,                0.00548,                0.00131,                 3.8229,                 21.303,                 3.8061,              0.0066197,              0.0066197,              0.0066197
                      3,                 3.3255,                 3.7369,                 2.3611,                0.13376,                0.09852,                0.04645,                0.01028,                 3.3114,                 3.8893,                 2.4613,              0.0099091,              0.0099091,              0.0099091
                      4,                 3.1495,                 3.4215,                 1.9647,                0.14429,                0.19458,                0.08553,                0.02733,                 2.8315,                 7.9996,                  1.915,               0.009901,               0.009901,               0.009901
                      5,                  2.983,                 3.3858,                  1.941,                0.18531,                0.14039,                0.06832,                0.01797,                 2.8011,                   3.19,                 1.8496,               0.009901,               0.009901,               0.009901
                      6,                  2.931,                 3.2149,                 1.8017,                0.24798,                0.20197,                0.11158,                0.03224,                 2.7665,                 3.1513,                 1.7433,               0.009868,               0.009868,               0.009868
                      7,                 2.8021,                 3.1347,                 1.7284,                0.23543,                 0.1798,                0.12346,                0.03969,                 2.6256,                 2.7157,                 1.6682,               0.009835,               0.009835,               0.009835
                      8,                 2.7853,                 3.0316,                 1.6917,                0.24812,                0.19704,                0.13368,                0.04063,                  2.653,                 2.6951,                 1.6468,               0.009802,               0.009802,               0.009802
                      9,                  2.762,                 2.9546,                 1.6347,                0.29034,                0.21675,                0.15407,                0.04964,                 2.5818,                 3.1153,                  1.614,               0.009769,               0.009769,               0.009769
                     10,                 2.6919,                 2.9338,                 1.6359,                0.25476,                0.23323,                0.13638,                0.04716,                 2.5379,                  2.632,                 1.5983,               0.009736,               0.009736,               0.009736
                     11,                 2.6184,                 2.7856,                 1.5724,                0.26107,                 0.2266,                0.15487,                 0.0529,                 2.4903,                 2.6423,                 1.6159,               0.009703,               0.009703,               0.009703
                     12,                 2.6225,                 2.8047,                 1.5745,                0.29207,                0.24384,                0.17064,                0.05266,                 2.5247,                 2.6521,                 1.6009,                0.00967,                0.00967,                0.00967
                     13,                 2.5654,                  2.741,                 1.5353,                 0.3163,                0.24272,                0.17521,                0.05853,                  2.516,                 2.5864,                 1.6021,               0.009637,               0.009637,               0.009637
                     14,                 2.6054,                 2.8071,                 1.5855,                0.30434,                0.25123,                0.19087,                0.06681,                 2.4937,                  2.483,                 1.6338,               0.009604,               0.009604,               0.009604
                     15,                 2.5079,                 2.7081,                 1.5435,                 0.3108,                0.26847,                0.19095,                0.06505,                 2.4236,                 2.4723,                 1.5468,               0.009571,               0.009571,               0.009571
                     16,                 2.5648,                 2.7326,                 1.5549,                0.29676,                0.25123,                0.18797,                 0.0641,                 2.4568,                 2.5331,                 1.5666,               0.009538,               0.009538,               0.009538
                     17,                 2.5328,                 2.6357,                 1.5372,                0.30117,                0.21675,                0.17616,                0.06348,                 2.4621,                 2.5864,                 1.5827,               0.009505,               0.009505,               0.009505
                     18,                 2.5064,                 2.6583,                 1.5393,                0.30287,                0.27715,                0.19229,                0.07087,                   2.41,                 2.5385,                  1.535,               0.009472,               0.009472,               0.009472
                     19,                 2.5008,                 2.6928,                 1.5015,                0.28714,                0.26192,                0.18586,                0.06622,                 2.4639,                 2.4758,                 1.5622,               0.009439,               0.009439,               0.009439
                     20,                 2.4745,                 2.5762,                 1.4995,                0.36364,                 0.2734,                 0.2078,                0.07667,                 2.4241,                 2.8032,                 1.5192,               0.009406,               0.009406,               0.009406
