                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2212,                 4.9647,                 4.1447,                0.63104,                0.02452,                0.02181,                0.00921,                 2.7619,                 3.8495,                  3.808,              0.0033245,              0.0033245,              0.0033245
                      2,                 2.6165,                 3.9186,                 3.3793,                0.71693,                0.04867,                0.03757,                0.01622,                 2.2512,                 3.2255,                 3.1962,              0.0066358,              0.0066358,              0.0066358
                      3,                 1.9524,                 3.2413,                 2.6515,                0.55351,                0.07068,                0.06816,                0.03982,                 1.7847,                 3.1469,                 2.6063,              0.0099252,              0.0099252,              0.0099252
                      4,                 1.6064,                 2.7565,                 2.2376,                0.35857,                0.11987,                 0.1167,                 0.0732,                 1.4302,                 2.3813,                  2.172,               0.009901,               0.009901,               0.009901
                      5,                 1.4188,                 2.4051,                 2.0166,                0.46554,                0.23414,                0.19939,                0.13447,                 1.2343,                 1.8325,                 1.8965,               0.009901,               0.009901,               0.009901
                      6,                 1.3134,                 2.1167,                 1.8733,                0.64173,                0.26628,                 0.3103,                0.22465,                 1.0918,                 1.7212,                  1.729,               0.009868,               0.009868,               0.009868
                      7,                 1.2354,                  1.915,                 1.7862,                0.48123,                 0.3759,                 0.3609,                 0.2651,                 1.0585,                 1.3546,                 1.6813,               0.009835,               0.009835,               0.009835
                      8,                 1.1809,                 1.7787,                 1.7225,                 0.6086,                0.35537,                0.39416,                0.29202,                 1.0191,                 1.3544,                 1.6289,               0.009802,               0.009802,               0.009802
                      9,                 1.1463,                  1.679,                 1.6764,                0.39521,                0.43728,                0.38896,                0.29218,                0.95945,                 1.2198,                  1.535,               0.009769,               0.009769,               0.009769
                     10,                 1.0951,                 1.5699,                 1.6246,                0.49971,                0.45427,                0.44868,                0.33335,                0.92309,                 1.2302,                 1.5131,               0.009736,               0.009736,               0.009736
                     11,                 1.0646,                 1.4921,                  1.591,                 0.6307,                0.40658,                  0.466,                0.34375,                0.89504,                 1.1356,                  1.473,               0.009703,               0.009703,               0.009703
                     12,                 1.0494,                 1.4242,                 1.5549,                0.53103,                0.46018,                0.49832,                0.37844,                0.86824,                 1.0691,                 1.4451,                0.00967,                0.00967,                0.00967
                     13,                 1.0116,                 1.3661,                 1.5254,                0.63171,                0.50605,                0.55775,                0.43112,                  0.844,                 0.9918,                 1.4322,               0.009637,               0.009637,               0.009637
                     14,                0.99884,                  1.325,                 1.5093,                0.57107,                 0.5171,                0.55449,                0.42478,                0.81459,                 1.0081,                 1.3877,               0.009604,               0.009604,               0.009604
                     15,                0.97077,                  1.294,                 1.4718,                0.54414,                0.50992,                0.55125,                0.42123,                0.83797,                0.96101,                 1.3984,               0.009571,               0.009571,               0.009571
                     16,                 0.9566,                 1.2655,                 1.4612,                0.46627,                0.56165,                0.56486,                 0.4365,                0.80453,                0.94554,                 1.3688,               0.009538,               0.009538,               0.009538
                     17,                 0.9452,                 1.2286,                 1.4434,                0.52542,                0.57186,                0.58553,                0.45755,                0.75474,                0.93045,                 1.3193,               0.009505,               0.009505,               0.009505
                     18,                0.92436,                  1.186,                 1.4265,                0.71465,                0.54232,                0.60869,                 0.4679,                0.75507,                0.83136,                 1.3069,               0.009472,               0.009472,               0.009472
                     19,                0.91359,                 1.1782,                 1.4135,                0.64952,                 0.5595,                0.60377,                0.47105,                0.73204,                0.86335,                 1.2921,               0.009439,               0.009439,               0.009439
                     20,                0.90363,                 1.1442,                 1.4052,                0.61423,                0.52629,                0.57498,                0.44289,                0.75294,                 0.8594,                    1.3,               0.009406,               0.009406,               0.009406
                     21,                0.90334,                 1.1355,                 1.3954,                 0.6529,                0.58195,                 0.6232,                0.49654,                0.71446,                0.82878,                 1.2652,               0.009373,               0.009373,               0.009373
                     22,                 0.8816,                 1.1088,                 1.3755,                 0.7837,                0.56121,                0.66128,                0.52113,                0.70702,                0.76702,                 1.2546,                0.00934,                0.00934,                0.00934
                     23,                0.87175,                 1.0743,                 1.3634,                 0.6538,                0.64147,                0.67009,                0.53264,                0.68874,                0.72887,                 1.2396,               0.009307,               0.009307,               0.009307
                     24,                0.87261,                 1.0696,                 1.3588,                0.74036,                0.63426,                0.67674,                0.53085,                0.67929,                0.75675,                 1.2309,               0.009274,               0.009274,               0.009274
                     25,                0.85341,                 1.0334,                 1.3413,                0.67032,                0.65384,                0.69296,                0.54116,                0.68248,                0.74069,                 1.2343,               0.009241,               0.009241,               0.009241
                     26,                0.84441,                 1.0241,                  1.335,                0.69081,                0.64472,                0.70827,                0.55691,                0.66684,                0.70697,                 1.2143,               0.009208,               0.009208,               0.009208
                     27,                0.84249,                  1.015,                 1.3315,                0.67862,                0.65599,                0.69653,                0.55891,                0.65534,                0.70298,                  1.205,               0.009175,               0.009175,               0.009175
                     28,                0.82444,                0.99462,                 1.3174,                0.70728,                0.65464,                0.70263,                0.54732,                0.67193,                0.72611,                 1.2216,               0.009142,               0.009142,               0.009142
                     29,                0.82418,                0.97956,                 1.3122,                0.81879,                 0.6572,                0.71356,                 0.5722,                0.65085,                0.74489,                  1.206,               0.009109,               0.009109,               0.009109
                     30,                0.81411,                0.96855,                 1.3041,                0.71777,                0.63034,                0.68215,                0.54661,                0.66054,                0.71634,                 1.2177,               0.009076,               0.009076,               0.009076
                     31,                0.81245,                0.94863,                  1.301,                0.81011,                0.65515,                 0.7412,                0.59505,                0.63349,                 0.6665,                 1.1848,               0.009043,               0.009043,               0.009043
                     32,                0.80269,                0.95445,                 1.2903,                0.82481,                0.69383,                0.76706,                0.61324,                0.61997,                0.64118,                 1.1666,                0.00901,                0.00901,                0.00901
                     33,                0.79423,                0.92915,                 1.2812,                0.80443,                 0.6835,                0.76954,                0.61433,                0.61648,                0.64804,                 1.1666,               0.008977,               0.008977,               0.008977
                     34,                0.79423,                0.92915,                 1.2762,                0.79823,                0.70968,                 0.7499,                0.59394,                0.61923,                0.61885,                 1.1577,               0.008944,               0.008944,               0.008944
                     35,                 0.7848,                0.91872,                  1.271,                0.83758,                0.69231,                0.77793,                0.63139,                0.60209,                0.61718,                  1.144,               0.008911,               0.008911,               0.008911
                     36,                0.79161,                0.93492,                 1.2815,                0.76972,                0.74805,                0.77971,                0.62073,                0.61036,                0.62318,                 1.1526,               0.008878,               0.008878,               0.008878
                     37,                0.77775,                0.90186,                 1.2627,                0.83883,                0.71169,                0.76698,                0.61837,                0.59367,                0.60623,                 1.1382,               0.008845,               0.008845,               0.008845
                     38,                0.77483,                0.89814,                 1.2649,                0.79025,                0.73193,                0.76943,                0.61907,                0.58413,                0.60325,                 1.1254,               0.008812,               0.008812,               0.008812
                     39,                0.77129,                 0.8838,                 1.2566,                0.84893,                0.68445,                0.75595,                0.61125,                0.59129,                0.58762,                 1.1334,               0.008779,               0.008779,               0.008779
                     40,                0.76226,                0.86919,                 1.2453,                0.80735,                0.68751,                0.75964,                0.61661,                0.58959,                0.61013,                 1.1267,               0.008746,               0.008746,               0.008746
                     41,                0.76357,                 0.8626,                 1.2513,                0.77516,                0.73103,                0.75866,                0.61518,                0.57323,                0.60051,                  1.124,               0.008713,               0.008713,               0.008713
                     42,                0.75654,                0.85617,                 1.2437,                0.79067,                0.71685,                0.76727,                0.63084,                0.56927,                0.57425,                 1.1155,                0.00868,                0.00868,                0.00868
